input_dataset,method,agents,agent_topk,avg_top1,val_avg_top1,seed,irl_lr,irl_epochs,irl_greedy,irl_tau,irl_weights,dt_negatives,dt_max_depth
ticket_log_platinum.csv,random,"Alice,Bob,Carol","{'Alice': [0.0, 0.05970149253731343, 0.07462686567164178], 'Bob': [0.0625, 0.09375, 0.140625], 'Carol': [0.043478260869565216, 0.07246376811594203, 0.08695652173913043]}",0.035326086956521736,,42,0.005,100,False,1.0,,50,5
ticket_log_platinum.csv,fifo,"Alice,Bob,Carol","{'Alice': [0.7611940298507462, 0.7611940298507462, 0.7611940298507462], 'Bob': [0.75, 0.75, 0.75], 'Carol': [0.7681159420289855, 0.7681159420289855, 0.7681159420289855]}",0.7597699906265772,,42,0.005,100,False,1.0,,50,5
ticket_log_platinum.csv,irl,"Alice,Bob,Carol","{'Alice': [0.6567164179104478, 0.8208955223880597, 0.9253731343283582], 'Bob': [0.578125, 0.765625, 0.875], 'Carol': [0.5942028985507246, 0.7536231884057971, 0.8115942028985508]}",0.6096814388203908,0.6626262626262626,42,0.001,100,True,1.0,"{'Bob': array([ 0.04662126,  2.49633624,  0.77601003,  0.80960909,  0.1625395 ,
        0.34797211,  0.22487128,  0.10150603,  2.5891063 , -2.10727511]), 'Carol': array([-0.09262475,  2.65011535,  0.74891653,  0.78899725,  0.27394817,
        0.2815001 ,  0.16976772, -0.20689279,  2.65626568, -2.3021481 ]), 'Alice': array([-0.03375322,  2.60071504,  0.7591134 ,  0.7674749 ,  0.23708359,
        0.29812245,  0.25171935, -0.02984179,  2.49730742, -2.07829326])}",50,5
ticket_log_platinum.csv,irl,"Alice,Bob,Carol","{'Alice': [0.6417910447761194, 0.835820895522388, 0.9104477611940298], 'Bob': [0.59375, 0.78125, 0.875], 'Carol': [0.6376811594202898, 0.7536231884057971, 0.8405797101449275]}",0.624407401398803,0.7122408293460926,42,0.005,100,True,1.0,"{'Bob': array([ 0.00976878,  4.53371524,  0.54302891,  0.59090314,  0.14536991,
        0.36707427,  0.21848483,  0.14314873,  5.96190655, -3.2297718 ]), 'Carol': array([-0.12317015,  4.67980022,  0.49473963,  0.58329484,  0.26598231,
        0.30223766,  0.14924526, -0.18758697,  6.16733531, -3.77202293]), 'Alice': array([-3.04642295e-02,  4.59428841e+00,  5.24537288e-01,  5.33925340e-01,
        2.35382933e-01,  2.90558792e-01,  2.64575741e-01,  1.63526311e-03,
        5.75177133e+00, -3.26006791e+00])}",50,5
ticket_log_platinum.csv,irl,"Alice,Bob,Carol","{'Alice': [0.6417910447761194, 0.8059701492537313, 0.8955223880597015], 'Bob': [0.625, 0.8125, 0.890625], 'Carol': [0.5072463768115942, 0.6521739130434783, 0.7536231884057971]}",0.5913458071959045,0.6945175438596491,42,0.01,100,True,1.0,"{'Bob': array([-7.77919786e-03,  5.99066955e+00,  3.82441032e-01,  4.28470006e-01,
        1.40115428e-01,  3.71784884e-01,  2.18196371e-01,  1.72139422e-01,
        9.00066409e+00, -3.28921385e+00]), 'Carol': array([-0.17449631,  6.40123416, -0.02205103,  0.71073264,  0.45133958,
        0.15113677,  0.13667057, -0.20432253,  9.6486534 , -4.41949337]), 'Alice': array([-0.03360966,  6.04996989,  0.35471035,  0.36192971,  0.23513   ,
        0.28792811,  0.2686401 ,  0.02045934,  8.7235465 , -3.49182883])}",50,5
ticket_log_platinum.csv,irl,"Alice,Bob,Carol","{'Alice': [0.5522388059701493, 0.6865671641791045, 0.8059701492537313], 'Bob': [0.484375, 0.71875, 0.859375], 'Carol': [0.5362318840579711, 0.7246376811594203, 0.7971014492753623]}",0.5242818966760402,0.5772860180754917,42,0.05,100,True,1.0,"{'Bob': array([-0.51560893, 26.72496766, -4.18809912,  0.40737618,  0.7834766 ,
       -0.93178364,  1.32007677,  0.50155508, 38.23675378, -9.4132018 ]), 'Carol': array([ -1.20993042,  30.12475225,  -5.01910819,   0.33719404,
         0.83873939,  -0.89605359,   1.19191344,  -0.70032289,
        40.6495077 , -12.60614248]), 'Alice': array([ 5.87658816e-01,  2.98115565e+01, -4.71903502e+00, -1.38863259e-01,
       -1.68763410e+00,  2.88319812e+00, -1.12865149e+00, -1.83355739e-02,
        3.48239145e+01, -9.27769763e+00])}",50,5
ticket_log_platinum.csv,irl,"Alice,Bob,Carol","{'Alice': [0.5373134328358209, 0.7910447761194029, 0.8955223880597015], 'Bob': [0.484375, 0.71875, 0.859375], 'Carol': [0.5217391304347826, 0.7391304347826086, 0.8260869565217391]}",0.5144758544235345,0.6026581605528974,42,0.1,100,True,1.0,"{'Bob': array([ -1.60632093,  53.58819962,  -9.19805085,  -0.53370472,
         1.29861612,  -1.96957439,   2.19358163,   0.91269002,
        74.91355384, -17.01657578]), 'Carol': array([ -0.94353011,  60.3877688 , -10.57716304,  -0.95763057,
        -3.38404749,   7.64300886,  -6.0582575 ,  -1.34330801,
        79.80677114, -29.44316769]), 'Alice': array([ -1.60761113,  59.76137734, -10.20027408,  -1.68598473,
         2.41858478,  -2.96395755,   2.29097007,  -0.39770561,
        74.02676883, -17.89348311])}",50,5
ticket_log_platinum.csv,dt_local,"Alice,Bob,Carol","{'Alice': [0.6417910447761194, 0.6567164179104478, 0.6567164179104478], 'Bob': [0.546875, 0.5625, 0.578125], 'Carol': [0.7391304347826086, 0.7536231884057971, 0.7536231884057971]}",0.642598826519576,0.5732057416267943,42,0.005,100,False,1.0,,10,5
ticket_log_platinum.csv,dt_local,"Alice,Bob,Carol","{'Alice': [0.5522388059701493, 0.5671641791044776, 0.582089552238806], 'Bob': [0.265625, 0.28125, 0.296875], 'Carol': [0.6521739130434783, 0.6666666666666666, 0.6666666666666666]}",0.49001257300454254,0.39564061669324824,42,0.005,100,False,1.0,,10,10
ticket_log_platinum.csv,dt_local,"Alice,Bob,Carol","{'Alice': [0.5373134328358209, 0.5522388059701493, 0.5671641791044776], 'Bob': [0.25, 0.265625, 0.265625], 'Carol': [0.4927536231884058, 0.5217391304347826, 0.5217391304347826]}",0.42668901867474224,0.3947567783094099,42,0.005,100,False,1.0,,10,20
